input,time
1000,42183
2000,18456
3000,28302
4000,35307
5000,60122
6000,53099
7000,61700
8000,70713
9000,79083
10000,89132
11000,96940
12000,106864
13000,115208
14000,124220
15000,133551
16000,142954
17000,151639
18000,160214
19000,169306
20000,179598
21000,266946
22000,194581
23000,56501
24000,54073
25000,52956
26000,55142
27000,58019
28000,62783
29000,73489
30000,65589
31000,67081
32000,91972
33000,110412
34000,109659
35000,11375
36000,11449
37000,11874
38000,12135
39000,12336
40000,13027
41000,13343
42000,13671
43000,14027
44000,14253
45000,14792
46000,15137
47000,15359
48000,15872
49000,17646
50000,16165
51000,17150
52000,17025
53000,18566
54000,18248
55000,19358
56000,18380
57000,18699
58000,21745
59000,20052
60000,19850
61000,24534
62000,20688
63000,20874
64000,21177
65000,22435
66000,22471
67000,22220
68000,22901
69000,44228
70000,23598
71000,23787
72000,24255
73000,25576
74000,24965
75000,26203
76000,25546
77000,60430
78000,27081
79000,26705
80000,35535
81000,27466
82000,78494
83000,28232
84000,48131
85000,29107
86000,32348
87000,29696
88000,30104
89000,32002
90000,30735
91000,63408
92000,32348
93000,32703
94000,34355
95000,33623
96000,34149
97000,34342
98000,34975
99000,35258
100000,51240
101000,36978
102000,36258
103000,36597
104000,95605
105000,36263
106000,55120
107000,109989
108000,105742
109000,55710
110000,39254
111000,38846
112000,39793
113000,74486
114000,40493
115000,39819
116000,40078
117000,40924
118000,59285
119000,40977
120000,41526
121000,42124
122000,60605
123000,44209
124000,43181
125000,43547
126000,43933
127000,44333
128000,44647
129000,45041
130000,45410
131000,45831
132000,45796
133000,45964
134000,47001
135000,47216
136000,67161
137000,104944
138000,105693
139000,49674
140000,49602
141000,100084
142000,105784
143000,49936
144000,77205
145000,128343
146000,53413
147000,51554
148000,120108
149000,104875
150000,90637
151000,52952
152000,102304
153000,53478
154000,53901
155000,152116
156000,54916
157000,60482
158000,73526
159000,55743
160000,56052
161000,56951
162000,57304
163000,60483
164000,57640
165000,73675
166000,191333
167000,99168
168000,59109
169000,59452
170000,122414
171000,60086
172000,60458
173000,61059
174000,68071
175000,61755
176000,62122
177000,62507
178000,62880
179000,62868
180000,168929
181000,65918
182000,65862
183000,66307
184000,66826
185000,189142
186000,67705
187000,67950
188000,70546
189000,182779
190000,69259
191000,68579
192000,74465
193000,70669
194000,70395
195000,80359
196000,69864
197000,69646
198000,188189
199000,70598
200000,70873
201000,145860
202000,71776
203000,71676
204000,72432
205000,151082
206000,72733
207000,100120
208000,86262
209000,74043
210000,74753
211000,76511
212000,76816
213000,77335
214000,77921
215000,78185
216000,133724
217000,76772
218000,77625
219000,77557
220000,77909
221000,97332
222000,82815
223000,91141
224000,79697
225000,98194
226000,83202
227000,83109
228000,118831
229000,81949
230000,154908
231000,96538
232000,133693
233000,97017
234000,265013
235000,83720
236000,83817
237000,84324
238000,83589
239000,84847
240000,85652
241000,300958
242000,86351
243000,98251
244000,87414
245000,275077
246000,87871
247000,87933
248000,88684
249000,88757
250000,89362
251000,89777
252000,89863
253000,90363
254000,90731
255000,91343
256000,101145
257000,107073
258000,92649
259000,93242
260000,109372
261000,241923
262000,110942
263000,102537
264000,97712
265000,99477
266000,95528
