input,time
100,199
101,201
102,203
103,205
104,207
105,209
106,211
107,213
108,215
109,217
110,219
111,221
112,223
113,225
114,227
115,229
116,231
117,233
118,235
119,237
120,239
121,241
122,243
123,245
124,247
125,249
126,251
127,253
128,255
129,257
130,259
131,261
132,263
133,265
134,267
135,269
136,271
137,273
138,275
139,277
140,279
141,281
142,283
143,285
144,287
145,289
146,291
147,293
148,295
149,297
150,299
151,301
152,303
153,305
154,307
155,309
156,311
157,313
158,315
159,317
160,319
161,321
162,323
163,325
164,327
165,329
166,331
167,333
168,335
169,337
170,339
171,341
172,343
173,345
174,347
175,349
176,351
177,353
178,355
179,357
180,359
181,361
182,363
183,365
184,367
185,369
186,371
187,373
188,375
189,377
190,379
191,381
192,383
193,385
194,387
195,389
196,391
197,393
198,395
199,397
200,399
201,401
202,403
203,405
204,407
205,409
206,411
207,413
208,415
209,417
210,419
211,421
212,423
213,425
214,427
215,429
216,431
217,433
218,435
219,437
220,439
221,441
222,443
223,445
224,447
225,449
226,451
227,453
228,455
229,457
230,459
231,461
232,463
233,465
234,467
235,469
236,471
237,473
238,475
239,477
240,479
241,481
242,483
243,485
244,487
245,489
246,491
247,493
248,495
249,497
250,499
251,501
252,503
253,505
254,507
255,509
256,511
257,513
258,515
259,517
260,519
261,521
262,523
263,525
264,527
265,529
266,531
267,533
268,535
269,537
270,539
271,541
272,543
273,545
274,547
275,549
276,551
277,553
278,555
279,557
280,559
281,561
282,563
283,565
284,567
285,569
286,571
287,573
288,575
289,577
290,579
291,581
292,583
293,585
294,587
295,589
296,591
297,593
298,595
299,597
300,599
301,601
302,603
303,605
304,607
305,609
306,611
307,613
308,615
309,617
310,619
311,621
312,623
313,625
314,627
315,629
316,631
317,633
318,635
319,637
320,639
321,641
322,643
323,645
324,647
325,649
326,651
327,653
328,655
329,657
330,659
331,661
332,663
333,665
334,667
335,669
336,671
337,673
338,675
339,677
340,679
341,681
342,683
343,685
344,687
345,689
346,691
347,693
348,695
349,697
350,699
351,701
352,703
353,705
354,707
355,709
356,711
357,713
358,715
359,717
360,719
361,721
362,723
363,725
364,727
365,729
366,731
367,733
368,735
369,737
370,739
371,741
372,743
373,745
374,747
375,749
376,751
377,753
378,755
379,757
380,759
381,761
382,763
383,765
384,767
385,769
386,771
387,773
388,775
389,777
390,779
391,781
392,783
393,785
394,787
395,789
396,791
397,793
398,795
399,797
400,799
401,801
402,803
403,805
404,807
405,809
406,811
407,813
408,815
409,817
410,819
411,821
412,823
413,825
414,827
415,829
416,831
417,833
418,835
419,837
420,839
421,841
422,843
423,845
424,847
425,849
426,851
427,853
428,855
429,857
430,859
431,861
432,863
433,865
434,867
435,869
436,871
437,873
438,875
439,877
440,879
441,881
442,883
443,885
444,887
445,889
446,891
447,893
448,895
449,897
450,899
451,901
452,903
453,905
454,907
455,909
456,911
457,913
458,915
459,917
460,919
461,921
462,923
463,925
464,927
465,929
466,931
467,933
468,935
469,937
470,939
471,941
472,943
473,945
474,947
475,949
476,951
477,953
478,955
479,957
480,959
481,961
482,963
483,965
484,967
485,969
486,971
487,973
488,975
489,977
490,979
491,981
492,983
493,985
494,987
495,989
496,991
497,993
498,995
499,997
500,999
