input,time
100,1949
200,631
300,695
400,539
500,395
600,314
700,354
800,340
900,451
1000,362
1100,356
1200,433
1300,389
1400,324
1500,390
1600,331
1700,1705
1800,330
1900,394
2000,381
2100,363
2200,354
2300,382
2400,564
2500,756
2600,558
2700,581
2800,604
2900,1420
3000,586
3100,589
3200,545
3300,577
3400,547
3500,571
3600,516
3700,575
3800,520
3900,548
4000,619
4100,567
4200,621
4300,548
4400,588
4500,615
4600,606
4700,655
4800,657
4900,671
5000,557
5100,540
5200,569
5300,632
5400,537
5500,606
5600,644
5700,649
5800,617
5900,434
6000,398
6100,393
6200,359
6300,373
6400,369
6500,359
6600,459
6700,397
6800,388
6900,420
7000,429
7100,398
7200,391
7300,396
7400,428
7500,404
7600,468
7700,405
7800,381
7900,391
8000,371
8100,424
8200,415
8300,376
8400,423
8500,394
8600,432
8700,483
8800,455
8900,931
9000,425
9100,406
9200,383
9300,891
9400,325
9500,340
9600,341
9700,382
9800,378
9900,624
10000,595
10100,564
10200,577
10300,578
10400,539
10500,574
10600,538
10700,632
10800,543
10900,568
11000,519
11100,600
11200,563
11300,547
11400,577
11500,583
11600,606
11700,546
11800,544
11900,653
12000,586
12100,592
12200,709
12300,573
12400,546
12500,545
12600,591
12700,603
12800,1735
12900,505
13000,513
13100,526
13200,663
13300,606
13400,599
13500,559
13600,541
13700,557
13800,526
13900,527
14000,517
14100,560
14200,522
14300,520
14400,545
14500,661
14600,554
14700,547
14800,549
14900,526
15000,515
15100,576
15200,507
15300,540
15400,622
15500,451
15600,525
15700,1147
15800,500
15900,500
16000,493
16100,544
16200,503
16300,481
16400,484
16500,466
16600,554
16700,552
16800,525
16900,511
17000,510
17100,520
17200,517
17300,520
17400,531
17500,496
17600,527
17700,560
17800,655
17900,537
18000,569
18100,488
18200,574
18300,504
18400,655
18500,618
18600,541
18700,525
18800,507
18900,510
19000,509
19100,505
19200,481
19300,511
19400,499
19500,548
19600,458
19700,453
19800,461
19900,460
20000,496
20100,463
20200,497
20300,446
20400,455
20500,583
20600,471
20700,830
20800,498
20900,520
21000,532
21100,530
21200,474
21300,576
21400,570
21500,627
21600,1069
21700,892
21800,714
21900,640
22000,589
22100,150942
22200,660
22300,355
22400,321
22500,406
22600,466
22700,450
22800,442
22900,428
23000,447
23100,334
23200,303
23300,438
23400,501
23500,448
23600,405
23700,674
23800,482
23900,437
24000,420
24100,407
24200,448
24300,359
24400,395
24500,374
24600,429
24700,508
24800,503
24900,493
25000,435
25100,377
25200,360
25300,428
25400,386
25500,446
25600,1063
25700,316
25800,320
25900,449
26000,394
26100,441
26200,401
26300,515
26400,436
26500,445
26600,350
26700,327
26800,391
26900,326
27000,388
27100,383
27200,372
27300,385
27400,411
27500,404
27600,374
27700,413
27800,375
27900,444
28000,659
28100,465
28200,317
28300,354
28400,419
28500,461
28600,385
28700,351
28800,394
28900,375
29000,340
29100,355
29200,386
29300,3952
29400,363
29500,275
