input,time
49,2062436
51,1944321
53,20523719
51,1326153
45,85113
57,50589373
55,2153388
45,36637
55,84509383
53,3200203
53,11730494
49,666209
54,146354026
54,45317213
55,3098794
45,54086
45,27582
52,1050696
49,350709
49,1134809
51,697183
55,27230518
53,9433699
55,8422186
53,2196644
57,6411012
54,2572438
53,24535635
54,8872727
55,22010194
56,32085318
55,15800111
49,149637
50,428403
51,2006595
49,140530
49,894176
51,751086
51,165249
49,179884
55,84033646
55,3518438
55,2687395
57,3419096
55,15905140
57,2250177
58,866945
56,91611376
59,1096604
56,9848344
