input,time
49,2206500
51,2190034
53,24719159
51,1340665
45,103474
57,50878218
55,2105154
45,36217
55,84507585
53,3317342
53,11197013
49,676888
54,145871544
54,45337739
55,3006986
45,38383
45,27461
52,1053219
49,350502
49,1115989
51,682320
55,27724467
53,9382057
55,8293525
53,2187682
57,6334865
54,2613779
53,24498102
54,8899083
55,21638395
56,31421320
55,15838617
49,209700
50,600664
51,2078094
49,141018
49,810289
51,628974
51,172764
49,188149
55,83233929
55,3426007
55,2693822
57,3345937
55,16047306
57,2115338
58,884413
56,91550512
59,1054814
56,9759786
