input,time
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,26
21,27
22,28
23,29
24,50
25,51
26,52
27,53
28,56
29,57
30,62
31,81
32,82
33,247
34,248
35,249
36,250
37,633
38,634
39,635
40,656
41,1209
42,1316
43,1511
44,1936
45,3677
46,292
47,381
48,744
49,755
50,1572
51,1607
52,2158
53,2245
54,2422
55,3141
56,6924
57,7391
58,858
59,971
60,972
61,273
62,1182
63,1029
64,3128
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,38
33,39
34,40
35,41
36,106
37,123
38,140
39,141
40,350
41,353
42,354
43,431
44,1202
45,1217
46,2396
47,2017
48,3856
49,5899
50,10556
51,12211
52,12212
53,637
54,638
55,1201
56,1536
57,2207
58,8432
59,5723
60,6228
61,1175
62,1176
63,699
64,710
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,26
25,27
26,28
27,29
28,30
29,31
30,38
31,41
32,42
33,43
34,54
35,53
36,54
37,57
38,60
39,61
40,62
41,63
42,66
43,69
44,76
45,61
46,64
47,77
48,350
49,253
50,682
51,503
52,504
53,577
54,1082
55,177
56,164
57,165
58,274
59,677
60,1888
61,563
62,588
63,651
64,624
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,36
33,37
34,38
35,43
36,44
37,55
38,58
39,59
40,64
41,87
42,120
43,125
44,174
45,183
46,184
47,231
48,228
49,229
50,250
51,1629
52,7762
53,4841
54,8480
55,14597
56,28954
57,16261
58,42440
59,86777
60,726
61,727
62,2870
63,673
64,674
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,26
23,27
24,28
25,29
26,30
27,35
28,36
29,37
30,46
31,107
32,124
33,223
34,240
35,241
36,274
37,275
38,292
39,315
40,364
41,365
42,366
43,375
44,376
45,1027
46,1096
47,463
48,664
49,665
50,872
51,1185
52,2140
53,2153
54,386
55,169
56,170
57,153
58,166
59,249
60,332
61,369
62,492
63,327
64,126
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,26
23,27
24,28
25,29
26,34
27,35
28,58
29,59
30,64
31,65
32,66
33,67
34,78
35,79
36,86
37,153
38,174
39,177
40,186
41,195
42,246
43,277
44,270
45,527
46,586
47,903
48,1034
49,1467
50,1560
51,1753
52,7302
53,1267
54,1376
55,1377
56,2650
57,5377
58,220
59,197
60,298
61,305
62,302
63,645
64,658
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,38
33,41
34,42
35,43
36,44
37,45
38,46
39,47
40,48
41,59
42,62
43,69
44,188
45,401
46,402
47,403
48,460
49,949
50,960
51,961
52,7128
53,7377
54,7380
55,2003
56,10158
57,12933
58,12942
59,1859
60,1884
61,17337
62,46400
63,99621
64,34270
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,17
16,18
17,19
18,24
19,25
20,26
21,27
22,28
23,29
24,30
25,39
26,42
27,43
28,46
29,49
30,50
31,35
32,36
33,37
34,94
35,95
36,154
37,307
38,336
39,359
40,360
41,361
42,772
43,787
44,656
45,657
46,816
47,817
48,2082
49,4057
50,6420
51,9437
52,9986
53,34555
54,159828
55,189855
56,36746
57,210695
58,542780
59,167373
60,352096
61,171
62,2254
63,135
64,144
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,27
22,28
23,29
24,30
25,31
26,32
27,33
28,34
29,35
30,36
31,37
