input,time
1000,2
2000,2
3000,2
4000,10
5000,2
6000,2
7000,4
8000,5
9000,6
10000,7
11000,9
12000,12
13000,11
14000,14
15000,17
16000,18
17000,20
18000,22
19000,25
20000,28
21000,31
22000,33
23000,37
24000,40
25000,43
26000,46
27000,50
28000,54
29000,58
30000,61
31000,66
32000,73
33000,79
34000,80
35000,85
36000,89
37000,95
38000,99
39000,104
40000,110
41000,115
42000,122
43000,126
44000,133
45000,140
46000,144
47000,151
48000,158
49000,164
50000,171
51000,179
52000,184
53000,191
54000,198
55000,209
56000,211
57000,218
58000,224
59000,237
60000,244
61000,257
62000,258
63000,266
64000,275
65000,286
66000,293
67000,302
68000,317
69000,321
70000,336
71000,346
72000,349
73000,371
74000,368
75000,377
76000,387
77000,396
78000,408
79000,427
80000,428
81000,439
82000,454
83000,462
84000,473
85000,484
86000,508
87000,511
88000,521
89000,535
90000,547
91000,555
92000,569
93000,583
94000,603
95000,615
96000,627
97000,633
98000,647
99000,666
100000,681
101000,686
102000,707
103000,712
104000,731
105000,745
106000,763
107000,786
108000,796
109000,807
110000,821
111000,836
112000,853
113000,865
114000,880
115000,899
116000,920
117000,934
118000,948
119000,966
120000,987
121000,999
122000,1033
123000,1033
124000,1050
125000,1067
126000,1080
127000,1102
128000,1138
129000,1146
130000,1161
131000,1193
132000,1202
133000,1226
134000,1232
135000,1248
136000,1279
137000,1301
138000,1306
139000,1331
140000,1348
141000,1372
142000,1391
143000,1401
144000,1430
145000,1445
146000,1467
147000,1490
148000,1509
149000,1539
150000,1581
