input,time
1000,0
2000,1
3000,0
4000,1
5000,0
6000,1
7000,0
8000,1
9000,1
10000,0
11000,0
12000,0
13000,0
14000,0
15000,0
16000,0
17000,1
18000,0
19000,0
20000,1
21000,0
22000,1
23000,0
24000,1
25000,0
26000,1
27000,1
28000,0
29000,1
30000,1
31000,0
32000,0
33000,1
34000,1
35000,1
36000,0
37000,0
38000,1
39000,1
40000,1
41000,1
42000,1
43000,1
44000,1
45000,1
46000,1
47000,1
48000,1
49000,1
50000,1
51000,1
52000,1
53000,1
54000,2
55000,1
56000,1
57000,1
58000,2
59000,1
60000,1
61000,2
62000,1
63000,2
64000,1
65000,1
66000,1
67000,1
68000,1
69000,2
70000,1
71000,2
72000,1
73000,2
74000,2
75000,1
76000,2
77000,2
78000,2
79000,2
80000,1
81000,2
82000,2
83000,2
84000,2
85000,2
86000,2
87000,1
88000,2
89000,2
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,2
104000,2
105000,2
106000,2
107000,3
108000,2
109000,3
110000,2
111000,3
112000,2
113000,3
114000,3
115000,2
116000,2
117000,3
118000,2
119000,2
120000,3
121000,3
122000,3
123000,3
124000,3
125000,2
126000,2
127000,3
128000,3
129000,3
130000,3
131000,3
132000,3
133000,3
134000,3
135000,3
136000,3
137000,3
138000,3
139000,3
140000,3
141000,3
142000,3
143000,3
144000,3
145000,4
146000,3
147000,3
148000,3
149000,3
150000,3
