input,time
1000,2
2000,2
3000,6
4000,2
5000,3
6000,5
7000,6
8000,8
9000,10
10000,13
11000,15
12000,18
13000,22
14000,25
15000,30
16000,33
17000,37
18000,42
19000,47
20000,51
21000,57
22000,62
23000,70
24000,74
25000,81
26000,87
27000,94
28000,101
29000,108
30000,116
31000,123
32000,132
33000,140
34000,149
35000,160
36000,167
37000,177
38000,185
39000,196
40000,207
41000,218
42000,229
43000,241
44000,254
45000,260
46000,284
47000,291
48000,304
49000,323
50000,333
51000,344
52000,356
53000,364
54000,388
55000,399
56000,412
57000,427
58000,452
59000,464
60000,485
61000,494
62000,510
63000,536
64000,556
65000,567
66000,578
67000,600
68000,620
69000,643
70000,651
71000,664
72000,677
73000,708
74000,720
75000,759
76000,772
77000,811
78000,814
79000,839
80000,861
81000,874
82000,917
83000,928
84000,943
85000,990
86000,997
87000,1017
88000,1042
89000,1065
90000,1082
91000,1107
92000,1144
93000,1149
94000,1191
95000,1221
96000,1259
97000,1278
98000,1309
99000,1317
100000,1360
101000,1390
102000,1406
103000,1439
104000,1490
105000,1512
106000,1551
107000,1570
108000,1605
109000,1633
110000,1663
111000,1689
112000,1723
113000,1763
114000,1795
115000,1809
116000,1849
117000,1896
118000,1902
119000,1953
120000,1971
121000,2029
122000,2064
123000,2098
124000,2132
125000,2174
126000,2193
127000,2222
128000,2292
129000,2300
130000,2346
131000,2379
132000,2408
133000,2448
134000,2480
135000,2515
136000,2534
137000,2598
138000,2647
139000,2680
140000,2720
141000,2753
142000,2801
143000,2837
144000,2841
145000,2895
146000,2935
147000,3034
148000,3136
149000,3107
150000,3134
