Date Consolidated,Day of Transaction,Time of Transaction,CustomerID,StoreID,EmployeeID,ProductID,Amount,QTY,Cost
4/30/2018,16,15:24:31,2ELV,3,18,A1818,51.089,27,33.484
4/30/2018,5,17:54:07,2EUA,3,9,A1818,8.116,4,3.884
4/30/2018,18,10:03:15,2HMJ,3,2,A1818,1.036,1,0.394
4/30/2018,7,10:03:15,7NBE,15,92,A1817,65.5,33,43.33
4/30/2018,11,12:45:28,2ETT,1,16,A1817,195.369,30,114.994
4/30/2018,26,13:54:30,2EUE,10,78,A1817,1100.2524,14,846.348
4/30/2018,17,11:38:47,8CLN,15,96,A1817,1019.3274,13,784.098
4/30/2018,21,9:28:04,8CWW,12,67,A1816,1040.5811,20,800.447
3/31/2017,27,15:38:23,2ELV,3,3,A1815,6063.11,141,4994
2/28/2017,7,16:30:32,2ELV,1,7,A1815,6114.0859,127,4703.143
4/30/2017,18,11:52:38,2ELV,2,12,A1815,6110.8359,125,4700.643
4/30/2018,14,13:49:33,2ELV,1,12,A1815,5633.303,81,4333.31
3/31/2017,27,13:12:39,8BEV,3,7,A1815,1556.652,51,1494.83
2/28/2017,8,11:03:38,8BEV,3,8,A1815,1660.563,47,1408.7
4/30/2017,20,13:12:39,8BEV,2,6,A1815,1630.059,45,1110
4/30/2018,23,11:40:01,2ETT,1,7,A1815,1660.288,42,1188.441
3/31/2017,24,13:58:39,5LAK,14,98,A1815,1056.158,40,943.491
4/30/2018,16,13:49:33,8BEV,1,13,A1815,1656.552,37,1068.443
2/28/2017,26,10:41:38,5LAK,15,92,A1815,985.565,36,839.983
3/31/2017,19,10:01:59,8CWK,1,12,A1815,1060.836,35,944.43
2/28/2017,26,18:02:09,8BKQ,5,22,A1815,531.616,34,343.368
4/30/2017,30,10:34:48,8CWK,2,11,A1815,1005.668,33,893.407
4/30/2018,18,13:50:38,5LAK,14,99,A1815,1026.611,29,894.434
2/28/2017,26,11:46:18,8CWK,2,8,A1815,892.205,29,794.646
2/28/2017,19,12:52:26,5CLR,13,84,A1815,805.609,29,363.143
4/30/2017,7,15:36:24,5LAK,15,83,A1815,855.259,29,800.949
4/30/2018,29,16:56:47,5TCC,18,112,A1815,1051.506,28,794.036
3/31/2017,26,14:58:16,5CLR,15,85,A1815,805.596,28,384.373
4/30/2017,12,16:19:05,5CLR,13,95,A1815,589.636,26,380.13
3/31/2017,23,10:56:40,8BKQ,4,22,A1815,568.0272,24,436.944
2/28/2017,15,12:28:19,5TCC,16,105,A1815,586.68,20,431.373
4/30/2018,22,12:01:03,7NMQ,24,144,A1815,616.506,18,404.976
4/30/2017,17,13:33:07,8BKQ,6,21,A1815,218.353,13,131.344
4/30/2017,24,17:41:23,7QVA,4,40,A1815,608.85,12,304.913
3/31/2017,24,9:32:03,7CNJ,4,28,A1815,537.4772,10,413.444
