input,time
1000,0
2000,2
3000,1
4000,2
5000,2
6000,3
7000,4
8000,5
9000,6
10000,7
11000,9
12000,10
13000,15
14000,14
15000,16
16000,18
17000,20
18000,22
19000,25
20000,27
21000,30
22000,34
23000,36
24000,39
25000,43
26000,46
27000,49
28000,53
29000,57
30000,61
31000,65
32000,69
33000,74
34000,79
35000,82
36000,88
37000,92
38000,98
39000,102
40000,108
41000,114
42000,119
43000,124
44000,131
45000,135
46000,142
47000,147
48000,158
49000,159
50000,168
51000,174
52000,181
53000,188
54000,200
55000,207
56000,213
57000,223
58000,226
59000,234
60000,242
61000,249
62000,259
63000,268
64000,275
65000,287
66000,296
67000,311
68000,313
69000,324
70000,329
71000,344
72000,349
73000,357
74000,375
75000,381
76000,386
77000,396
78000,424
79000,427
80000,439
81000,466
82000,455
83000,464
84000,474
85000,485
86000,494
87000,511
88000,527
89000,539
90000,551
91000,559
92000,565
93000,581
94000,592
95000,624
96000,636
97000,646
98000,644
99000,666
100000,677
101000,699
102000,704
103000,711
104000,729
105000,745
106000,755
107000,767
108000,781
109000,797
110000,816
111000,848
112000,863
113000,867
114000,874
115000,902
116000,910
117000,926
118000,950
119000,976
120000,979
121000,992
122000,1024
123000,1047
124000,1054
125000,1073
126000,1070
127000,1094
128000,1132
129000,1143
130000,1152
131000,1171
132000,1184
133000,1204
134000,1225
135000,1275
136000,1294
137000,1292
138000,1315
139000,1350
140000,1358
141000,1370
142000,1397
143000,1398
144000,1421
145000,1449
146000,1458
147000,1515
148000,1514
149000,1552
150000,1542
