input,time
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0
7000,0
8000,0
9000,0
10000,1
11000,0
12000,0
13000,0
14000,0
15000,0
16000,0
17000,0
18000,1
19000,0
20000,0
21000,1
22000,0
23000,1
24000,1
25000,1
26000,0
27000,0
28000,1
29000,1
30000,1
31000,0
32000,1
33000,1
34000,1
35000,0
36000,1
37000,1
38000,1
39000,1
40000,0
41000,0
42000,1
43000,1
44000,1
45000,1
46000,1
47000,1
48000,0
49000,1
50000,1
51000,1
52000,0
53000,1
54000,1
55000,1
56000,1
57000,1
58000,1
59000,1
60000,1
61000,1
62000,1
63000,1
64000,1
65000,1
66000,2
67000,1
68000,1
69000,1
70000,1
71000,1
72000,2
73000,1
74000,2
75000,1
76000,1
77000,1
78000,2
79000,1
80000,2
81000,1
82000,2
83000,1
84000,2
85000,1
86000,2
87000,1
88000,2
89000,2
90000,2
91000,2
92000,2
93000,1
94000,1
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,3
104000,2
105000,2
106000,2
107000,2
108000,2
109000,2
110000,2
111000,2
112000,2
113000,2
114000,3
115000,3
116000,2
117000,3
118000,2
119000,3
120000,3
121000,2
122000,3
123000,3
124000,3
125000,3
126000,3
127000,3
128000,2
129000,3
130000,3
131000,3
132000,2
133000,3
134000,3
135000,3
136000,3
137000,2
138000,3
139000,3
140000,3
141000,3
142000,2
143000,2
144000,3
145000,3
146000,3
147000,3
148000,3
149000,3
150000,3
