input,time
1000,1
2000,1
3000,1
4000,2
5000,3
6000,5
7000,7
8000,9
9000,11
10000,13
11000,18
12000,19
13000,23
14000,26
15000,30
16000,35
17000,38
18000,45
19000,48
20000,53
21000,57
22000,64
23000,69
24000,76
25000,82
26000,89
27000,97
28000,103
29000,110
30000,118
31000,126
32000,136
33000,142
34000,151
35000,161
36000,170
37000,179
38000,189
39000,199
40000,210
41000,221
42000,233
43000,244
44000,254
45000,266
46000,280
47000,293
48000,308
49000,324
50000,331
51000,344
52000,359
53000,372
54000,390
55000,404
56000,420
57000,451
58000,470
59000,468
60000,483
61000,493
62000,515
63000,533
64000,554
65000,570
66000,586
67000,598
68000,621
69000,639
70000,658
71000,682
72000,690
73000,724
74000,735
75000,768
76000,765
77000,786
78000,818
79000,861
80000,894
81000,896
82000,913
83000,931
84000,952
85000,980
86000,998
87000,1021
88000,1069
89000,1080
90000,1101
91000,1137
92000,1138
93000,1177
94000,1200
95000,1220
96000,1282
97000,1303
98000,1317
99000,1327
100000,1371
101000,1398
102000,1421
103000,1443
104000,1473
105000,1502
106000,1535
107000,1558
108000,1592
109000,1626
110000,1654
111000,1707
112000,1746
113000,1777
114000,1793
115000,1824
116000,1878
117000,1905
118000,1944
119000,1987
120000,1994
121000,2032
122000,2068
123000,2107
124000,2150
125000,2197
126000,2206
127000,2253
128000,2281
129000,2335
130000,2373
131000,2384
132000,2421
133000,2467
134000,2507
135000,2540
136000,2594
137000,2643
138000,2719
139000,2725
140000,2774
141000,2811
142000,2842
143000,2859
144000,2920
145000,2958
146000,3004
147000,3088
148000,3084
149000,3129
150000,3186
